功能模块,大模型返回功能名称,指令关键词/指令内容,预期操作/响应,示例语句,备注说明,输出msg,输出result,和预期操作匹配程度
,,找【医生姓名】+看病/诊治/问诊/看诊,打开名医问诊选择用户页面，并回答“您是要为【第一个人姓名】找名医吗？”,“帮我找XX医生看病”、“我要找XX医生给我看诊”,,,,
,,问诊记录、预约记录,打开名医问诊-预约记录，并回答“您是要查看【第一个人姓名】的预约记录吗？”,“打开我的名医预约记录”,,,,
用药提醒,用药提醒,吃药、服药、用药,打开用药提醒页面，并回答“已为您打开用药提醒页面”,“我今天什么时候吃药”、“有服药计划吗”、“打开用药提醒页面”,,,,
,新建用药提醒,创建/新建/添加/新增/增加+吃药/服药/用药,打开用药提醒-增加用药页面，并回答“好的，已为您打开新增用药提醒页面，请手动添加用药计划”,“新增一个用药计划”、“添加一个服药计划”,,,,
,新建用药提醒+药品名称,创建/新建/添加/新增/增加+药品名称+计划/提醒+频次,打开用药提醒-增加用药页面，自动带入药品名称和频次，并回答“好的，已为您打开新增用药提醒页面，请继续手动完善用药计划”,“新建一个每天吃维生素D的计划”,,,,
家庭医生,"1、如果用户仅说：“打开家庭医生”，则仅需返回家庭医生
2、如果用户说：“帮我联系AAA的家庭医生”，则返回家庭医生与医生姓名",【用户姓名】+联系医生/家庭医生,"· 若存在指令中的【用户姓名】：打开【用户姓名】的家庭医生页面，并回复“已打开【用户姓名】的家庭医生功能，请选择要联系的医生”
· 若未找到【用户姓名】或未说姓名：打开家庭医生功能，并回复“您是要为【第一个人姓名】联系家庭医生吗？”",“帮我联系我的家庭医生”、“打开家庭医生”、“帮我联系AAA的家庭医生”,用户回复用户姓名后，需要自动切换到该用户的家庭医生页面,,,
,返回家庭医生音频通话+医生姓名,打电话给【XXX医生】、给【XXX医生】打电话,通过家庭医生打语音给【XXX医生】,“帮我给AAA医生打个电话”,,,,
,返回家庭医生音频通话+医生姓名,打视频给【XXX医生】、给【XXX医生】打视频,通过家庭医生打视频给【XXX医生】,“帮我打视频给AAA医生”,,,,
相册,小雅相册,相册、照片、生活照,打开相册,“我想看看最近的照片”、“打开相册”,,,,
小雅通话,小雅通话,联系家人/亲友、电话+家人/亲友、视频+家人/亲友、小雅通话,打开小雅通话,“我想联系家人”、“跟家人打电话”、“打开小雅通话”,,,,
,小雅音频通话+亲友姓名,打电话+【亲友姓名】,通过小雅通话打电话给【亲友姓名】,“打电话给大儿子小星”,,,,
,小雅视频通话+亲友姓名,打视频+【亲友姓名】,通过小雅通话打视频给【亲友姓名】,“打视频给小儿子轩轩”,,,,
小雅家政,小雅家政,小雅家政、预约服务、服务预约,,“打开小雅家政”、“我要预约服务”、“我要做服务预约”,,,,
,"1、用户描述家电维修，返回家电维修
2、用户描述房屋维修，返回房屋维修
3、用户描述水电维修，返回水电维修
4、用户描述母婴服务，返回母婴服务
5、用户描述家政服务，返回家政服务
6、用户描述中医足道，返回用户描述",【具体的服务（如：家电维修、房屋维修、水电维修、母婴、家政）】,打开小雅家政对应的服务页面,“给我预约做饭服务”、“帮我预约护理服务”、“我要找人做家电维修”,,,,
小雅教育,小雅教育+关键词,我想学【XXX】、我要学【XXX】、打开【XXX】学习,"· 如果在小雅教育资源的标题中含有关键词【XXX】则直接打开对应的教育资源
· 如果找不到对应的资源，则打开小雅教育页面，并回答“我还没有相关知识，您可以先学学别的知识哦”
· 如果找到多个资源，则打开小雅教育过滤出关于【XXX】的资源，并回答“找到多个关于【XXX】的知识，您要学习第几个呢？”",“我想学广场舞”、“我想学八段锦”、“打开二胡学习视频”,"多个资源时，如果用户回复了第几个，则打开对应的第几个资源
用户说：“打开二胡学习视频”，大模型理解错误，返回错误，返回“小雅视频通话”",,,
小雅娱乐,娱乐,娱乐、游戏,打开小雅娱乐,“我想娱乐一下”、“打开小雅娱乐”、“我想玩游戏”,,,,
,小雅曲艺,听戏、打开戏曲,打开小雅戏曲，并回复“请选择要播放的戏曲”,“打开戏曲”、“我想听戏”,,,,
,返回小雅曲艺与戏曲名,打开/听+【戏曲名】、来一首【戏曲名】、放一首【戏曲名】,"· 如果存在对应【戏曲名】，直接播放该戏曲；
· 如果不存在对应【戏曲名】，则打开听戏曲页面，并回复“我还有没有该戏曲，您可以先听听别的戏曲哦”",“我想听穆桂英挂帅”,如果戏曲名在音乐中也存在，需进一步追问“同时存在【XXX】的戏曲和音乐，请问想听哪个呢？”，用户回答音乐则播放对应音乐，用户回答戏曲则播放对应戏曲,,,
,小雅音乐,听音乐、打开音乐、播放音乐,打开小雅音乐，并回复“请选择要播放的歌曲”,“我想听音乐”,,,,
,返回小雅音乐与音乐名,打开/听+【音乐名】、来一首【音乐名】、放一首【音乐名】,"· 如果存在对应【音乐名】，直接播放该戏曲；
· 如果不存在对应【音乐名】，则打开听戏曲页面，并回复“我还有没有该音乐，您可以先听听别的音乐哦",“来一首生日快乐歌”,如果音乐名在戏曲中也存在，需进一步追问“同时存在【XXX】的戏曲和音乐，请问想听哪个呢？”，用户回答音乐则播放对应音乐，用户回答戏曲则播放对应戏曲,,,
,小雅听书,听书,打开听书页面,“我想听书”、“打开小雅听书”,,,,
,斗地主,斗地主,打开斗地主,“我想斗地主”,,,,
,中国象棋,象棋,打开中国象棋,“我要下象棋”,,,,
,关闭音乐,,,关闭音乐,,,,
,关闭听书,,,关闭听书,,,,
,关闭戏曲,,,关闭戏曲,,,,
小雅陪伴,语音陪伴或聊天,聊天、聊一会、聊聊,打开小雅聊天,“我想聊天”、“我要聊天”、“小雅陪我聊天”、“小雅陪我聊一会儿”、“小雅陪我聊聊”,,,,
小雅商城,商城,商城,打开小雅商城,“打开小雅商城”,,,,
,数字健康机器人,机器人、购买小雅,打开小雅商城的数字健康机器人页面,"""我要购买数字健康机器人""、""我要购买健康机器人""、""我要购买机器人""",,,,
,健康监测终端,监测设备、监测终端、血压计、血氧仪、血糖仪、血脂仪、体重秤、温度计、尿酸检测仪、血红蛋白检测仪、睡眠监测仪,打开小雅商城的健康监测终端页面,"""我要购买健康监测终端设备""、""我要购买监测终端设备""、""我要购买监测设备""",,,,
,智慧生活终端,智慧生活、智慧终端、智能家居、智能开关,打开小雅商城的智慧生活终端页面,"""我要购买智慧生活终端设备""、""打开智慧生活终端模块或页面""",,,,
,健康食疗产品,健康食疗产品,打开小雅商城的健康食疗产品页面,"""购买健康食疗产品""、""打开食疗用品""",,,,
,适老化用品,适老化用品,打开小雅商城的适老化用品页面,"""打开适老化产品""、""购买老人用品""",,,,
,日常生活用品,日常生活用品,打开小雅商城的日常生活用品页面,"""我要买日常生活用品""、""打开日常生活用品页面或模块""",,,,
,商城主页,商品,打开小雅商城主页,"""我要购买商品""",,,,
,订单页面,订单,打开小雅商城中我的订单页面,"""查看我的订单""、""打开我的订单""",,,,
