功能模块,大模型返回功能名称,指令关键词/指令内容,预期操作/响应,示例语句,备注说明,输出msg,输出result,和预期操作匹配程度
时间,返回播报时间,几点、时间,语音播报现在时间,“现在几点”、“现在什么时间”,大模型返回内容不正确,现在是2025年11月5日19点58分03秒。 || 现在是东八区时间2025年11月05日19:58（周三）。,播报时间 || 播报时间,匹配||匹配
,闹钟页面,打开闹钟,打开闹钟页面，并回复“好的，已打开您的闹钟页面”,“打开闹钟页面”、“打开闹钟功能”,,好的，我已为您打开闹钟页面。您可以在这里设置、修改或查看闹钟时间。 || 已为您打开闹钟界面，您可以在界面中设置具体的闹钟时间和相关参数哦。,闹钟界面 || 闹钟界面,匹配||匹配
,新增闹钟,定一个闹钟、定个闹钟、设置一个闹钟、添加一个闹钟,进入闹钟页面并且打开新增闹钟弹框，并回复“好的，已为您打开新增闹钟页面，请您开始设置”,“给我定个闹钟”、“帮我添加一个闹钟”、“给我设置一个闹钟”,,好的，闹钟已为您新增。请问您希望设置在什么时间呢？我会帮您确认并设置准确的闹钟时间。 || 好的，闹钟已为您添加。请问您希望设置几点的闹钟呢？ || 好的，闹钟已为您设置。请问您需要设置在什么时间呢？,新增闹钟 || 新增闹钟 || 新增闹钟,匹配||匹配||匹配
,"新增闹钟
2025-10-09 16:03:02",定一个/定个/设置一个/添加一个【XXX（时间）】的闹钟,"成功新增闹钟：
闹钟事件：闹钟
闹钟时间：XXX
闹钟频次：一次
并回复：好的，我会在【XXX时间】闹铃提醒您",“定个10分钟后的闹钟”、“设置一个下午6点的闹钟”,,已为您设置10分钟后的闹钟，时间是2025-11-05 20:08:08，请留意提醒哦。 || 已为你设置2025年11月6日下午6点的闹钟，届时会准时提醒你哦。,新增闹钟 || 新增闹钟,匹配||匹配
,,【XX频次】提醒我【XXX时间】【XXX事件】,"成功新增闹钟：
闹钟事件：XXX事件
闹钟时间：XXX时间
闹钟频次：XX频次
并回复：好的，我会在【XX频次】【XXX时间】闹铃提醒您【XXX事件】",“提醒我10分钟后煮饭”、“提醒我每周三上午10点打电话给女儿”,"没有频次时，则闹钟频次为“一次”，回复时不带频次：我会在【XXX时间】闹铃提醒您【XXX事件】
问题：用户说：“提醒我每周三上午10点打电话给女儿”，大模型返回时间不对。",好的，已为您设置10分钟后（2025-11-05 20:08:09）的煮饭提醒，届时会准时通知您~ || 已为您设置每周三上午10点的闹钟，提醒您打电话给女儿。记得准时联系哦~,新增闹钟 || 新增闹钟,匹配||匹配
设置,小雅设置,小雅设置,打开小雅设置页面,“打开小雅设置”,,好的，我这就为您打开小雅设置界面。,小雅设置,匹配
,声音调低或声音调小,声音小一点、小声一点,声音下调10%，调整完成后回复“已调整，现在声音合适吗？”,“声音小一点”、“小声一点”,如果用户回复有需要，继续调整,好的，我已经把声音调低啦，这样会不会更舒服一些呢？ || 好的，我已经帮您把声音调低了，这样更安静一些~,声音调低 || 声音调低,匹配||匹配
,声音调高或声音调大,声音大一点、大声一点,声音上调10%，调整完成后回复“已调整，现在声音合适吗？”,“声音大一点”、“大声一点”,如果用户回复有需要，继续调整，若当前为最大声，则回复“当前已是最大声哦～”,好的，我已经把声音调高了一些，您现在可以更清楚地听到我的回复了。 || 好的，我已经把音量调高了，您现在感觉声音合适吗？,声音调高 || 声音调高,匹配||匹配
,亮度调高或亮度调亮,屏幕亮一点,屏幕调亮10%，调整完成后回复“已调整，现在亮度合适吗？”,“屏幕亮一点”,如果用户回复有需要，继续调整，若当前为最大亮度，则回复“当前屏幕已是最大亮度哦～”,好的，我已经帮您将屏幕亮度调高一些了，这样显示会更清晰哦。,亮度调高,匹配
,亮度调低或亮度调暗,屏幕暗一点,屏幕调暗10%，调整完成后回复“已调整，现在亮度合适吗？”,“屏幕暗一点”,如果用户回复有需要，继续调整,好的，已为您调低屏幕亮度。现在长沙天气多云，夜间气温较低，记得做好保暖措施哦。,亮度调低,匹配
健康监测,健康监测,监测、检查、健康检测、健康检查,打开健康监测页面，并回复“您是要给【第一个人姓名】测量【第一个项目】吗？”,“打开健康监测”、“我想做健康检测”、“我要做健康检查”,当用户说打开【XXX（人名）】的健康监测/健康检查时，需要直接跳转到健康监测页面到该用户的Tab页,好的，健康监测已为您开启，随时为您关注身体状况。 || 好的，我们现在就为您进行健康检测。检测前请确保您已准备好相关信息，比如最近的身体状况、是否有特殊健康史等，以便我们提供更精准的分析。 || 好的，我已为您记录健康检查的需求。目前长沙天气晴朗，气温15~23℃，建议您选择天气良好的时段前往医院或体检中心。健康检查前请注意保持充足睡眠，检查后如有任何不适或疑问，小雅随时为您提供健康咨询。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。,健康监测 || 健康监测 || 健康评估,匹配||匹配||不匹配
,用户有描述姓名则返回：血压监测+姓名；否则，返回健康监测,血压,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血压”、“我要量血压”、“帮我测一下血压”、“给我量一下血压”,当用户说给【XXX（人名）】测量血压时，若存在该用户，需要直接跳转到该用户的血压测量页面。,好的，我已经准备好为您监测血压了。请您先确保手臂放松，袖带佩戴合适，然后我会引导您完成测量步骤。 || 好的，现在为您开始血压监测。测量前请保持安静休息5-10分钟，避免吸烟、喝咖啡或剧烈运动。测量时请露出右上臂，将袖带平整缠绕在手臂上，与心脏位置平齐。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。 || 好的，我会帮您监测血压。测量前请确保手臂放松，避免刚运动或进食后立即测量。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。 || 小雅已准备为您测量血压，请您确保设备连接正常并保持安静环境。测量时请放松身体，手臂自然放置，不要说话或移动。血压监测结果仅供参考，如数值异常或伴随头晕、胸痛等症状，请及时咨询医生。,血压监测 || 血压监测 || 血压监测 || 血压监测,匹配||匹配||匹配||匹配
,用户有描述姓名则返回：血氧监测+姓名；否则，返回健康监测,血氧,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血氧”、“帮我测血氧”、“打开血氧检查”,当用户说给【XXX（人名）】测量血氧时，若存在该用户，需要直接跳转到该用户的血压测量页面。,好的，我这就为您进行血氧监测。请您将手指轻轻放在血氧仪的检测部位，保持安静，我会等待您的检测结果。 || 好的，小雅会帮您监测血氧。如果您有佩戴血氧仪，只需将设备靠近或按要求操作即可；如果没有，建议您先准备合适的血氧监测设备，比如指夹式血氧仪，以便准确测量哦。 || 好的，我已经为您打开血氧监测功能，开始检测您的血氧饱和度。小雅的建议仅供参考，如有异常请及时咨询医生。,血氧监测 || 血氧监测 || 血氧监测,匹配||匹配||匹配
,用户有描述姓名则返回：心率监测+姓名；否则，返回健康监测,心率,打开健康监测页面，并回复“您可以通过测量血压或血氧测量心率，请选择后测量”,“我现在心率是多少”、“帮我测一下心率”、“我要测心率”,用户说通过【血压/血氧】给【XXX（人名）】测量心率时，若存在该用户，需要直接跳转到该用户的【血压/血氧】测量页面。,小雅的心率监测需要通过绑定的健康设备（如手环）获取实时数据哦。如果您已佩戴设备并完成连接，我可以帮您查询当前心率。 || 好的，正在为您测量心率。测量时请保持身体放松，稍等片刻即可。如果您的心率持续异常或伴有胸闷、心悸等不适，请及时就医。小雅的建议仅供参考。 || 好的，我现在为您开始心率监测。请保持安静，将手指轻轻放在设备的传感器上，我会为您测量心率。,心率监测 || 心率监测 || 心率监测,匹配||匹配||匹配
,用户有描述姓名则返回：血糖监测+姓名；否则，返回健康监测,血糖,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血糖”、“帮我测一下血糖”、“打开血糖检查”,当用户说给【XXX（人名）】测量血糖时，若存在该用户，需要直接跳转到该用户的血糖测量页面。,好的，现在为您进行血糖监测。请您准备好血糖仪和试纸，按照操作说明完成检测，稍后我会为您记录结果。 || 小雅已为您启动血糖监测功能，请准备好血糖仪并按照操作指引完成测量。测量前请确保手部清洁干燥，测量后可在健康记录中查看结果。小雅的建议仅供参考，如血糖值异常或持续不适请及时咨询医生。 || 已为您打开血糖监测功能。建议您使用时选择洁净环境，保持手部清洁干燥，按照操作指引完成血糖检测。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。,血糖监测 || 血糖监测 || 血糖监测,匹配||匹配||匹配
,用户有描述姓名则返回：血脂监测+姓名；否则，返回健康监测,血脂,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血脂”、“帮我测一下血脂”、“打开血脂监测”,当用户说给【XXX（人名）】测量血脂时，若存在该用户，需要直接跳转到该用户的血脂测量页面。,好的，我将为您安排血脂监测。请您准备好相关的检测工具或前往指定检测点，确保按照操作规范进行检测，如有任何不适请及时告知。 || 小雅的血脂监测功能需要专业设备配合使用，建议您使用配套的血脂检测仪器完成检测。检测时请确保保持空腹状态，并遵循仪器操作说明。小雅的建议仅供参考，如检测结果异常请及时咨询医生。 || 好的，已为您打开血脂监测功能。建议您保持规律作息和健康饮食，以便获得更准确的监测数据。,血脂监测 || 血脂监测 || 血脂监测,匹配||匹配||匹配
,用户有描述姓名则返回：体重监测+姓名；否则，返回健康监测,体重,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测体重”、“帮我测一下体重”、“打开体重测量”,当用户说给【XXX（人名）】测量体重时，若存在该用户，需要直接跳转到该用户的体重测量页面。,好的，我已为您准备体重监测服务。测量体重前请确保体重秤放置平稳，双脚自然站立并保持安静。小雅的建议仅供参考，若测量数据异常请及时咨询医生。 || 好的，正在为您准备体重监测。测量前请确保设备电量充足并正确佩戴，测量时保持静止站立状态。另外，今天长沙天气多云，气温15~22℃，记得根据天气增减衣物哦。小雅的健康建议仅供参考，若有异常数据请及时咨询专业人士。 || 好的，我已为您打开体重测量功能。请将体重秤放在平稳地面上，确保赤脚并站在秤中央，系统将自动完成测量哦。,体重监测 || 体重监测 || 体重监测,匹配||匹配||匹配
,用户有描述姓名则返回：体温监测+姓名；否则，返回健康监测,体温,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测体温”、“帮我测一下体温”、“打开体温测量”,当用户说给【XXX（人名）】测量体温时，若存在该用户，需要直接跳转到该用户的体温测量页面。,好的，我现在为您进行体温监测。请您准备好体温计，按照正确的使用方法测量，我会等待您的测量结果哦。 || 小雅的健康监测功能需要您使用配套的体温设备来完成哦，您可以准备好设备后告诉我，我会协助您进行测量。 || 已为您打开体温测量功能，准备好后请将设备靠近额头进行测量。,体温监测 || 体温监测 || 体温监测,匹配||匹配||匹配
,用户有描述姓名则返回：血红蛋白监测+姓名；否则，返回健康监测,血红蛋白,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血红蛋白”、“帮我测一下血红蛋白”、“打开血红蛋白测量”,当用户说给【XXX（人名）】测量血红蛋白时，若存在该用户，需要直接跳转到该用户的血红蛋白测量页面。,好的，我已为您准备好血红蛋白监测的相关服务。请您按照指引完成检测操作，如有任何不适或疑问，随时告诉我。 || 血红蛋白监测需要使用专业的健康监测设备（如血糖/血压一体机等支持该功能的设备），请确保设备已正确连接并准备就绪，小雅将为您启动监测流程。小雅的建议仅供参考，如检测结果异常请及时咨询医生。 || 已为您准备血红蛋白测量功能，请按照设备提示完成操作。小雅的建议仅供参考，如测量结果异常请及时咨询医生。,血红蛋白监测 || 血红蛋白监测 || 血红蛋白监测,匹配||匹配||匹配
,用户有描述姓名则返回：尿酸监测+姓名；否则，返回健康监测,尿酸,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测尿酸”、“帮我测一下尿酸”、“打开尿酸测量”,当用户说给【XXX（人名）】测量尿酸时，若存在该用户，需要直接跳转到该用户的尿酸测量页面。,好的，现在为您进行尿酸监测。如果您需要了解尿酸相关的健康建议或注意事项，可以随时告诉我哦。 || 小雅的尿酸监测功能需要连接专业设备进行检测，建议您准备好尿酸检测仪并按照操作说明完成测量。如果测量结果异常或身体出现不适，请及时咨询医生。小雅的建议仅供参考。 || 正在为您打开尿酸监测功能。温馨提示：测量前请保持安静状态10分钟，小雅医生的建议仅供参考，如症状持续或加重请及时咨询医生。今天长沙多云，气温16~23℃，记得做好保暖哦~,尿酸监测 || 尿酸监测 || 尿酸监测,匹配||匹配||匹配
,用户有描述姓名则返回：睡眠监管+姓名；否则，返回健康监测,睡眠,打开睡眠监控页面，并回复“您是要查看【第一个人姓名】的睡眠吗？”,“我想看我的睡眠情况”、“打开睡眠监控页面”,当用户说看【XXX（人名）】的睡眠时，若存在该用户，需要直接跳转到该用户的睡眠监控页面。,好的，我这就为您查看睡眠监测情况。您可以稍等片刻，我会为您呈现相关数据。 || 好的，我已为您打开睡眠监测页面。您可以在这里查看睡眠数据和分析哦。,睡眠监测 || 睡眠监测,匹配||匹配
健康评估,健康评估,健康评估、评估健康、评估一下健康,打开健康评估选择用户页面，并回复“您是要给【第一个人姓名】评估吗？”,“打开健康评估功能”、“给我做个健康评估”、“帮我评估健康情况”、“帮我评估一下健康状况”,当用户说给【XXX（人名）】做健康评估时，若存在该用户，需要直接跳转到该用户的健康评估页面,好的，正在为您打开健康评估功能，请稍等片刻。 || 好的，我会为您进行健康评估。为了更准确地评估，您可以告诉我近期的身体状况、生活习惯或是否有特定健康关注点吗？ || 好的，我已为您生成健康画像。如果您有具体的健康指标或症状想了解，我可以进一步为您分析。 || 为了更精准地评估您的健康状况，需要您补充一些信息，比如近期的身体感受、既往病史或生活习惯等，您可以告诉我这些内容吗？,健康评估 || 健康评估 || 健康画像 || 健康画像,匹配||匹配||不匹配||不匹配
,健康评估,【具体项目】+评估,打开健康评估选择用户页面，并回复“您是要给【第一个人姓名】评估吗？”,“帮我做一下心理评估”、“给我做一下营养状况评估”,"· 可口述选择用户，选择完用户后直接进入对应的项目评估
· 当用户说给【XXX（人名）】做健康评估时，若存在该用户，需要直接跳转到该用户的对应项目的评估页面",好的，我将为您开启心理评估服务。心理评估结果仅供参考，如出现持续情绪困扰或心理压力过大的情况，请及时寻求专业心理咨询师的帮助。另外，长沙市今天夜间多云转晴，气温12~20℃，您可以根据天气情况适当添衣，注意早晚温差哦。 || 好的，我可以帮您进行营养状况评估。不过需要您提供一些基本信息，比如近期的饮食情况、有无特殊健康状况或过敏史等，以便更准确地分析。小雅的建议仅供参考，如有疑问或症状加重请及时咨询专业人士。,健康评估 || 健康评估,匹配||匹配
健康科普,健康科普,健康科普,打开健康科普页面,“打开健康科普页面”,,好的，我正在为您打开健康科普页面。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。,健康科普,匹配
,健康科普,给我讲讲/说说【XXX知识内容】+知识,"直接打开对应知识详情（视频>文章）
不存在相关“知识”，打开健康科普，并回复“我还没有相关知识，您可以先学学别的健康知识哦”",“给我讲讲高血压的相关知识”,,高血压是一种常见的慢性疾病，以动脉血压持续升高为主要表现，可能导致心、脑、肾等重要器官损害。日常建议低盐饮食、规律运动、控制体重，并定期监测血压。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。,健康科普,匹配
,健康科普,怎么判断+【XXX知识内容】,"直接打开对应知识详情（视频>文章）
不存在相关“知识”，打开健康科普，并回复“我还没有相关知识，您可以先学学别的健康知识哦”",“怎么判断有没有高血压”,,判断高血压主要通过测量血压，在不同时间安静状态下多次测量，收缩压≥140mmHg或舒张压≥90mmHg即可诊断。此外，长期头晕、头痛、耳鸣等症状也可能提示高血压风险。小雅的建议仅供参考，如怀疑高血压请及时就医测量血压并咨询医生。,健康科普,匹配
,健康科普,【XXX知识内容】+怎么处理/怎么办,"直接打开对应知识详情（视频>文章）
不存在相关“知识”，打开健康科普，并回复“我还没有相关知识，您可以先学学别的健康知识哦”",“被蜜蜂蜇了怎么办”,,被蜜蜂蜇后，应立即用信用卡或其他硬质卡片刮除蜂针，避免挤压毒囊；用肥皂水或清水清洗伤口，可冰敷缓解疼痛和肿胀。若出现呼吸困难、头晕、恶心等过敏反应，或伤口持续红肿、化脓，请及时就医。小雅的建议仅供参考。,健康科普,匹配
健康画像,返回：健康画像与用户姓名,【用户姓名】+画像、健康状况,· 若有说用户姓名：打开【用户姓名】的健康画像页面，并回复“好的，已打开【用户姓名】的健康画像，请查看”；,“看一下AAA的健康画像”、“打开健康画像”、“打开AAA的健康画像”、“AAA的健康状况是怎样的”,,好的，我现在为您查看AAA的健康画像。 || 好的，正在为您打开健康画像，您可以随时查看自己的健康相关信息。 || 好的，正在为您打开AAA的健康画像。如果您需要查看具体健康数据或有其他健康相关的问题，随时告诉我哦。 || AAA的健康状况可通过健康画像进行查看，目前健康状况良好。,健康画像 || 健康画像 || 健康画像 || 健康画像,匹配||匹配||匹配||匹配
,健康画像,“打开健康画像”,· 若未找到用户姓名或未说用户姓名：打开健康画像选择用户页面，并回复“您是要查看【第一个人姓名】的健康画像吗？”,,,,,
小雅医生,"1、如果用户仅说：“打开小雅医生/健康咨询”，则仅需返回小雅医生
2、若有说用户姓名，则返回小雅医生与医生姓名",【用户姓名】+小雅医生/健康咨询,"· 若有说用户姓名：打开小雅医生并已选择用户【用户姓名】，进入小雅医生流程
· 若未找到用户姓名或未说用户姓名：打开小雅医生选择用户页面，并回复“您是要为【第一个人姓名】咨询小雅医生吗？”",“打开小雅医生”、“我要为AAA做健康咨询”,,好的，小雅医生正在为您打开，您可以开始咨询健康问题啦。 || 好的，小雅医生会为AAA提供健康咨询服务，有任何具体的健康问题或需求都可以告诉我哦。,小雅医生 || 小雅医生,匹配||匹配
名医问诊,名医问诊,名医、远程问诊,打开名医问诊选择用户页面，并回答“您是要为【第一个人姓名】找名医吗？”,“打开名医问诊”、“帮我找名医问诊”、“我想远程问诊”,,好的，正在为您打开名医问诊服务，请稍候~ || 好的，我将为您推荐合适的名医进行问诊服务。如果您有具体的健康问题或科室需求，也可以告诉我，以便更精准地匹配哦。 || 好的，我已为您对接名医问诊服务，您可以通过系统指引提交病情描述，我们会尽快为您匹配专业医生进行远程解答。,名医问诊 || 名医问诊 || 名医问诊,匹配||匹配||匹配
,,找【医生姓名】+看病/诊治/问诊/看诊,打开名医问诊选择用户页面，并回答“您是要为【第一个人姓名】找名医吗？”,“帮我找XX医生看病”、“我要找XX医生给我看诊”,,好的，我会帮您联系家庭医生。如果您需要进一步的帮助，可以告诉我更多关于XX医生的信息，比如科室或专长哦。 || 好的，我会帮您联系家庭医生。不过为了更准确地帮您安排看诊，您能告诉我您说的“XX医生”具体是哪位吗？比如科室或姓名信息，这样我能更快找到对应的医生资源。,家庭医生 || 家庭医生,匹配||匹配
,,问诊记录、预约记录,打开名医问诊-预约记录，并回答“您是要查看【第一个人姓名】的预约记录吗？”,“打开我的名医预约记录”,,我暂时无法识别您的需求，可以再具体描述一下吗？,未知指令,不匹配
用药提醒,用药提醒,吃药、服药、用药,打开用药提醒页面，并回答“已为您打开用药提醒页面”,“我今天什么时候吃药”、“有服药计划吗”、“打开用药提醒页面”,,小雅需要您提供具体的用药提醒信息或之前设置的用药计划，以便查看今天的用药时间哦。如果您有具体的药名或用药说明，也可以告诉我，我会帮您确认是否有相关提醒。另外，今天长沙天气晴转多云，气温12~22℃，请记得适当增减衣物。 || 小雅可以为您提供用药提醒服务哦，您可以告诉我具体需要提醒的药物名称、服用时间和剂量等信息，我会帮您设置好提醒。 || 好的，我这就为您打开用药提醒页面。您可以在这里查看和管理您的用药计划。,用药提醒 || 用药提醒 || 用药提醒,匹配||匹配||匹配
,新建用药提醒,创建/新建/添加/新增/增加+吃药/服药/用药,打开用药提醒-增加用药页面，并回答“好的，已为您打开新增用药提醒页面，请手动添加用药计划”,“新增一个用药计划”、“添加一个服药计划”,,好的，我已为您新建用药提醒。为了更好地协助您，请您补充一下具体的用药信息，比如药物名称、服用时间和剂量等，我会帮您完善这个用药计划。 || 好的，我已经为您新建了用药提醒。为了更精准地设置服药计划，您可以告诉我具体的服药时间、药物名称和剂量哦。,新建用药提醒 || 新建用药提醒,匹配||匹配
,新建用药提醒+药品名称,创建/新建/添加/新增/增加+药品名称+计划/提醒+频次,打开用药提醒-增加用药页面，自动带入药品名称和频次，并回答“好的，已为您打开新增用药提醒页面，请继续手动完善用药计划”,“新建一个每天吃维生素D的计划”,,好的，我已经为您创建每天服用维生素D的用药提醒计划。小雅的建议仅供参考，如症状持续或加重请及时咨询医生。,新建用药提醒,匹配
家庭医生,"1、如果用户仅说：“打开家庭医生”，则仅需返回家庭医生
2、如果用户说：“帮我联系AAA的家庭医生”，则返回家庭医生与医生姓名",【用户姓名】+联系医生/家庭医生,"· 若存在指令中的【用户姓名】：打开【用户姓名】的家庭医生页面，并回复“已打开【用户姓名】的家庭医生功能，请选择要联系的医生”
· 若未找到【用户姓名】或未说姓名：打开家庭医生功能，并回复“您是要为【第一个人姓名】联系家庭医生吗？”",“帮我联系我的家庭医生”、“打开家庭医生”、“帮我联系AAA的家庭医生”,用户回复用户姓名后，需要自动切换到该用户的家庭医生页面,好的，正在为您发起与家庭医生的音频通话，请稍候。 || 好的，已为您打开家庭医生服务，有任何健康相关的问题都可以随时和我聊聊哦。 || 好的，我正在为您联系AAA的家庭医生，将为您发起音频通话，请稍候。,家庭医生音频通话 || 家庭医生 || 家庭医生音频通话,匹配||匹配||匹配
